date,sales,price,ad_spend,day_of_week,is_weekend,holiday
2023-01-01,54.96714153011233,99.19755905622833,50.97922627548841,6,1,0
2023-01-02,49.54723198394301,100.53448816814777,45.625749640766934,0,0,0
2023-01-03,58.33628826286694,100.19776549641212,53.07510309645606,1,0,0
2023-01-04,68.01853534593812,100.45415896151871,43.034375326713615,2,0,0
2023-01-05,51.37449653688569,98.7989361543107,57.20237721748759,3,0,1
2023-01-06,52.3010681050749,100.48002224792099,54.923378312640686,4,0,1
2023-01-07,71.35924232340702,101.51291624143275,54.33746694516691,5,1,0
2023-01-08,64.16406343242258,103.5049706168667,58.45950379015293,6,1,1
2023-01-09,52.71515749907251,102.60680922510626,62.352644609712556,0,0,0
2023-01-10,63.752929643074964,105.08001158897451,59.56555433476226,1,0,0
2023-01-11,54.60748399390544,99.32410013968028,45.74571669917759,2,0,0
2023-01-12,55.49526227747886,102.68832925070595,48.99531551131348,3,0,0
2023-01-13,63.47931420791035,101.39498352690639,52.69776058872932,4,0,0
2023-01-14,42.82992164966822,105.49221053621692,56.3653532696415,5,1,0
2023-01-15,45.61215018495115,99.57998175072748,59.21952168475357,6,1,0
2023-01-16,58.1323032947879,99.60075176592618,53.381057532294165,0,0,0
2023-01-17,54.51564016486171,100.16464585155943,58.30336698222876,1,0,0
2023-01-18,68.66980062334254,97.19846914906323,53.932617086183186,2,0,0
2023-01-19,57.324749681713534,100.47714909343725,54.97127179942908,3,0,0
2023-01-20,53.15359166532549,100.09233688588505,51.29335874263095,4,0,0
2023-01-21,82.79842164264541,101.99285297212077,53.985977333580486,5,1,1
2023-01-22,66.74283943253394,102.456536386767,52.09613722845043,6,1,0
2023-01-23,70.52761680279728,105.60579687365711,54.20387130128088,0,0,0
2023-01-24,56.4493543219872,103.83418139107918,64.55577138429223,1,0,0
2023-01-25,66.08998959927348,100.85882888237502,54.719992515668345,2,0,0
2023-01-26,73.47221779844688,100.29450966118111,72.78294052262295,3,0,0
2023-01-27,61.67414597723736,103.1532570386008,62.21586862622268,4,0,0
2023-01-28,77.75379239527665,99.60638559079452,60.775570508643106,5,1,0
2023-01-29,68.7945278040894,105.98653339192754,55.63529984007447,6,1,1
2023-01-30,72.67918893269103,104.7585676312415,63.47772212005743,0,0,0
2023-01-31,70.36512443646637,101.5366926237085,57.120321109219624,1,0,0
2023-02-01,95.68163822996314,99.12339396376892,60.604090478737504,2,0,0
2023-02-02,77.79090725912057,105.33126718732586,72.76320089076424,3,0,0
2023-02-03,68.10591269580523,102.46752048199076,59.42450494125239,4,0,0
2023-02-04,87.65550162792049,105.24450707274958,65.56664218796267,5,1,0
2023-02-05,67.95831003554771,99.65146841606705,56.19353604863108,6,1,1
2023-02-06,82.98152241399005,101.7121766926963,59.39758705305135,0,0,0
2023-02-07,62.01156052277724,102.9911498267825,68.26397973180131,1,0,0
2023-02-08,69.03080862410047,103.14347120952985,56.087359839679266,2,0,0
2023-02-09,84.97452491468549,102.21731806633518,68.07193146900883,3,0,0
2023-02-10,91.0724694117406,104.43015901136944,62.31178661927179,4,0,0
2023-02-11,86.07184422415551,101.11527960957854,55.70051053637217,5,1,0
2023-02-12,83.86032999687411,103.03085432116139,61.39187735421417,6,1,0
2023-02-13,82.65255559237579,103.62030948414757,62.787540667644556,0,0,0
2023-02-14,71.51312336052894,104.47169382483389,60.70750141253177,1,0,1
2023-02-15,79.7224736179245,104.92811805520853,49.400639471981485,2,0,0
2023-02-16,82.92478104895213,101.31663196947724,53.24994643430843,3,0,1
2023-02-17,98.70019185225966,100.55765319424565,55.26344775892992,4,0,0
2023-02-18,92.1503765955605,106.2401202237187,55.726852898500496,5,1,0
2023-02-19,71.65632346885127,104.40718176481468,58.78400795506495,6,1,0
2023-02-20,93.08729569521557,102.30225272760978,56.13554988265635,0,0,0
2023-02-21,86.54246485644816,106.95706982501994,48.122652986047356,1,0,0
2023-02-22,84.15790966914832,104.14050668092587,56.239826646205394,2,0,0
2023-02-23,97.56466330404749,106.32097857788311,56.919596155833304,3,0,0
2023-02-24,102.26552225804424,104.14946737001463,56.183083037991906,4,0,0
2023-02-25,101.76274666932932,108.18677634715664,58.29642482313879,5,1,0
2023-02-26,84.53892532665779,107.62560101435469,56.562767415620094,6,1,0
2023-02-27,90.30682221609551,103.66540381647788,54.18327635067135,0,0,0
2023-02-28,97.16607866115949,106.15364632652278,51.025706588578444,1,0,0
2023-03-01,104.05001851691318,105.54717410709205,42.557199131226234,2,0,0
2023-03-02,89.9305528276388,107.0383348971322,52.49325248536001,3,0,0
2023-03-03,93.28002797705705,102.41459292246482,50.86583202676167,4,0,0
2023-03-04,84.47418362041165,105.75861639099409,50.66798274193362,5,1,0
2023-03-05,83.9629833051981,106.54412910196523,42.41089031834522,6,1,0
2023-03-06,104.42444099640888,100.94924869608158,42.87712676704593,0,0,0
2023-03-07,110.22235876928735,102.13832731418054,53.040554927101375,1,0,0
2023-03-08,96.28730986175012,100.46315442756358,47.07536194582178,2,0,0
2023-03-09,107.37691286295353,104.03822637373771,50.18629906887821,3,0,0
2023-03-10,101.27888938552296,106.04618207590097,46.434681490201626,4,0,0
2023-03-11,91.51911038393986,107.64849530481857,45.96610268972307,5,1,0
2023-03-12,101.87894624975903,104.82327077426663,50.0441873094423,6,1,0
2023-03-13,113.92702029909994,107.96221936795448,42.320450315011776,0,0,0
2023-03-14,98.45712829030246,101.97329056348426,44.94285498709959,1,0,0
2023-03-15,114.71772499397535,101.35382345084327,41.72729870178253,2,0,0
2023-03-16,73.11700756085557,104.67516935497484,41.45860056948953,3,0,0
2023-03-17,107.76403746046738,105.57864599709663,41.694702941209265,4,0,0
2023-03-18,100.63354225829923,104.7679426472779,43.9788365518626,5,1,0
2023-03-19,96.97869264595235,100.7198248870505,40.1211494099716,6,1,0
2023-03-20,101.07984226626056,104.69639948188355,48.460465803187304,0,0,0
2023-03-21,80.46793403700832,102.28417862547008,37.396402494117154,1,0,0
2023-03-22,98.31636797264667,106.24948287592723,40.64463292996509,2,0,0
2023-03-23,104.24191386829598,105.65889143727807,39.11246502137906,3,0,0
2023-03-24,115.59583807031098,103.06002491898903,48.30143408391303,4,0,0
2023-03-25,95.768891381674,103.92466838526443,41.828693797304204,5,1,0
2023-03-26,92.99012590432586,102.84511732671237,45.80906027048903,6,1,0
2023-03-27,96.16992577576669,104.84784942892962,33.051021475708,0,0,0
2023-03-28,110.44311845560298,106.8916737407126,41.668587042414096,1,0,0
2023-03-29,104.66758437214483,103.01663426883515,44.66191872515763,2,0,0
2023-03-30,96.16303742895745,106.00139044443796,40.53185096308966,3,0,0
2023-03-31,106.66369242550601,103.93650546601047,45.38098662837483,4,0,0
2023-04-01,102.56221372426002,103.41350945567956,37.426962922693576,5,1,0
2023-04-02,111.32858552905984,104.78593928009089,47.0467372009279,6,1,0
2023-04-03,94.66282160017994,102.92877047536551,51.50789579129169,0,0,1
2023-04-04,98.43871613163385,103.88972209206099,38.23939195084978,1,0,0
2023-04-05,97.81726407831705,102.59754162822458,37.89291840970868,2,0,0
2023-04-06,87.11748792159872,108.91753662733902,47.48068713262896,3,0,0
2023-04-07,104.71968241908677,105.05191620365359,48.231196441721366,4,0,0
2023-04-08,104.36669740331824,103.5737566074908,37.86452320512652,5,1,0
2023-04-09,101.79704488566311,105.39150419195872,38.548903487666564,6,1,0
2023-04-10,99.38218834045624,104.72774612055615,39.43699687044381,0,0,1
2023-04-11,87.54917354426722,104.4978452925773,34.34429210697298,1,0,0
2023-04-12,97.46421409414219,106.15402834517123,36.717860580328946,2,0,1
2023-04-13,98.20457142689507,106.42515319836177,36.55828731701155,3,0,0
2023-04-14,93.56355844688551,103.83211533125872,38.03045117969403,4,0,0
2023-04-15,99.92196052283393,103.72300307961976,42.00826073838579,5,1,0
2023-04-16,105.51799544643129,104.30460569282697,43.68596618097159,6,1,0
2023-04-17,120.27651255225236,100.22948981399493,50.62067015776442,0,0,0
2023-04-18,103.09241412683363,101.7801329748209,38.2487933548585,1,0,0
2023-04-19,103.84926000939556,107.52001328765712,48.55269369903403,2,0,0
2023-04-20,100.45187980180255,108.05052375655613,42.96873092418021,3,0,0
2023-04-21,81.92700056741128,104.23542140080127,44.2149325541325,4,0,0
2023-04-22,100.76406960214186,105.85810220292342,48.274771416931664,5,1,0
2023-04-23,101.54246153900758,105.29758152251415,39.739158171750816,6,1,0
2023-04-24,125.48032304174626,110.80154281753698,47.72937072316461,0,0,0
2023-04-25,98.8291642392691,106.8502473871782,47.12535065061461,1,0,0
2023-04-26,103.67058879635701,104.3212048596653,49.24105190205584,2,0,0
2023-04-27,100.20815039688873,102.63053790188293,48.71898093464416,3,0,0
2023-04-28,88.76679486015657,101.29195169899694,60.051291359991325,4,0,0
2023-04-29,111.7786093691362,104.87365494066226,45.09370954783066,5,1,0
2023-04-30,107.765361813775,102.91457863769745,46.13964842243768,6,1,0
2023-05-01,108.05119170037408,101.54200605180186,46.194385923832925,0,0,0
2023-05-02,90.94137565265434,103.05129407513998,47.050007995144846,1,0,0
2023-05-03,113.95745556597849,102.13797577483872,47.158225753164494,2,0,0
2023-05-04,85.80549550537567,107.63070547806689,56.80708645434396,3,0,0
2023-05-05,105.5876491488173,105.97378393851295,58.479056385820954,4,0,1
2023-05-06,121.51963153969236,104.14738683080279,49.033644485781785,5,1,0
2023-05-07,89.60698006666357,107.07480760724833,48.231378777354436,6,1,0
2023-05-08,93.74825014424015,104.2200171126879,55.249598977297694,0,0,0
2023-05-09,100.30858533630364,102.29186200453789,50.62301557693185,1,0,0
2023-05-10,94.18046223521942,107.00863236429477,57.03132651819175,2,0,0
2023-05-11,83.61437558164096,104.98697749970947,55.35345249543208,3,0,1
2023-05-12,99.71541418794425,101.78027356532199,47.220654204611705,4,0,0
2023-05-13,88.31884268855346,103.41854844455568,62.98457088464039,5,1,0
2023-05-14,103.59355553694007,101.991317234086,64.66003583278916,6,1,0
2023-05-15,89.58312904147238,100.91916711799301,53.03507659157879,0,0,0
2023-05-16,114.20077439132032,105.47823663078017,54.56253313700753,1,0,0
2023-05-17,90.79760233969232,107.38474943409324,58.3149592670573,2,0,0
2023-05-18,95.34319503342583,100.70775315139247,58.92404702136889,3,0,0
2023-05-19,106.63794802631726,104.56875463009753,60.89117296480994,4,0,0
2023-05-20,86.13870623757252,102.07843308248012,67.97579111334265,5,1,1
2023-05-21,100.6724435974736,102.34136252367458,57.345102521466316,6,1,0
2023-05-22,111.42599738261266,102.06573261986598,54.521358193151244,0,0,0
2023-05-23,82.24299908306851,101.45647760731481,51.876430801921785,1,0,0
